from,to,sign
39,5086,-1
39,5160,-1
39,5179,-1
39,5184,-1
39,5192,-1
39,5193,-1
39,5196,-1
39,5261,-1
39,5269,-1
39,5290,-1
39,5300,-1
39,5301,-1
39,5307,-1
39,5352,-1
39,5466,-1
39,5630,-1
39,5750,-1
39,5756,-1
39,5783,-1
39,5787,-1
39,5791,-1
39,5795,-1
39,5796,-1
39,5802,-1
39,5914,-1
39,5915,-1
39,5917,-1
39,5918,-1
39,5922,-1
39,5928,-1
39,6144,-1
39,6205,-1
39,6214,-1
39,6255,-1
39,6258,-1
39,6349,-1
39,6350,-1
39,6362,-1
39,6363,-1
39,6365,-1
39,6505,-1
39,7435,-1
39,7981,-1
39,8007,-1
39,8008,-1
39,8009,-1
39,8010,-1
39,8011,-1
39,8012,-1
39,8013,-1
39,8014,-1
39,8015,-1
39,8016,-1
39,8017,-1
39,8018,-1
39,8019,-1
39,8020,-1
39,8021,-1
39,8022,-1
39,8023,-1
39,8024,-1
39,8025,-1
39,8026,-1
39,8027,-1
39,8028,-1
39,8029,-1
39,8030,-1
39,8031,-1
39,8032,-1
39,8033,-1
39,8034,-1
39,8035,-1
39,8036,-1
39,8037,-1
39,8038,-1
39,8039,-1
39,8040,-1
39,8041,-1
39,8042,-1
39,8043,-1
39,8044,-1
39,8045,-1
39,8046,-1
39,8047,-1
39,8048,-1
39,8049,-1
39,8050,-1
39,8051,-1
39,8052,-1
39,8053,-1
39,8054,-1
39,8055,-1
39,8056,-1
39,8057,-1
39,8058,-1
39,8059,-1
39,8060,-1
41,18,-1
41,61,-1
41,74,-1
41,439,-1
41,482,-1
41,493,-1
41,500,-1
41,504,-1
41,631,-1
41,694,-1
41,742,-1
41,827,-1
41,918,-1
41,988,-1
41,1129,-1
41,1287,-1
41,1331,-1
41,1386,-1
41,1442,-1
41,1448,-1
41,1455,-1
41,1457,-1
41,1470,-1
41,1477,-1
41,1483,-1
41,1484,-1
41,1494,-1
41,1499,-1
41,1528,-1
41,1590,-1
41,1619,-1
41,1634,-1
41,1702,-1
41,1961,-1
41,1967,-1
41,1968,-1
41,1979,-1
41,1991,-1
41,1993,-1
41,2000,-1
41,2030,-1
41,2231,-1
41,2349,-1
41,2694,-1
41,2864,-1
41,2932,-1
41,3070,-1
41,3174,-1
41,3283,-1
41,3620,-1
41,3705,-1
41,3808,-1
41,3887,-1
41,3890,-1
41,3981,-1
41,3982,-1
41,3983,-1
41,3984,-1
41,4046,-1
41,4071,-1
41,4108,-1
41,4277,-1
41,4349,-1
41,4470,-1
41,4622,-1
41,4626,-1
41,4927,-1
41,5160,-1
41,5258,-1
41,5292,-1
41,5352,-1
41,5531,-1
41,5609,-1
41,5761,-1
41,5786,-1
41,5795,-1
41,5796,-1
41,5917,-1
41,6205,-1
41,7572,-1
41,7650,-1
41,7680,-1
41,8009,-1
41,8032,-1
41,8033,-1
41,8038,-1
41,8069,-1
41,8070,-1
41,8071,-1
41,8072,-1
41,8073,-1
41,8074,-1
41,8075,-1
41,8076,-1
41,8077,-1
41,8078,-1
41,8079,-1
41,8080,-1
41,8081,-1
41,8082,-1
41,8083,-1
41,8084,-1
41,8085,-1
41,8086,-1
41,8087,-1
41,8088,-1
41,8089,-1
41,8090,-1
41,8091,-1
41,8092,-1
41,8093,-1
41,8094,-1
41,8095,-1
41,8096,-1
41,8097,-1
41,8098,-1
41,8099,-1
41,8100,-1
41,8101,-1
41,8102,-1
41,8103,-1
41,8104,-1
41,8105,-1
41,8106,-1
41,8107,-1
41,8108,-1
41,8109,-1
41,8110,-1
41,8111,-1
41,8112,-1
41,8113,-1
41,8114,-1
41,8115,-1
41,8116,-1
41,8117,-1
41,8118,-1
41,8119,-1
41,8120,-1
41,8121,-1
41,8122,-1
41,8123,-1
41,8124,-1
41,8125,-1
41,8126,-1
41,8127,-1
41,8128,-1
41,8129,-1
41,8130,-1
41,8131,-1
41,8132,-1
41,8133,-1
43,101,-1
43,102,-1
49,8424,-1
49,15557,-1
50,56,-1
50,71,-1
50,476,-1
50,486,-1
50,589,-1
50,631,-1
50,663,-1
50,668,-1
50,690,-1
50,695,-1
50,887,-1
50,1047,-1
50,1062,-1
50,1180,-1
50,1537,-1
50,1860,-1
50,2202,-1
50,2239,-1
50,4011,-1
50,4566,-1
50,7901,-1
50,8147,-1
50,8276,-1
50,9346,-1
50,9993,-1
50,16975,-1
50,16976,-1
52,673,-1
52,694,-1
52,8922,-1
52,16981,-1
52,16982,-1
53,3258,-1
53,16984,-1
54,935,-1
54,1972,-1
54,2378,-1
54,5761,-1
54,7619,-1
54,8171,-1
54,8240,-1
54,8241,-1
54,8242,-1
54,8243,-1
54,8244,-1
54,8245,-1
54,8246,-1
55,26,-1
55,50,-1
55,1283,-1
55,1407,-1
55,1727,-1
55,2154,-1
55,2458,-1
55,3367,-1
55,3421,-1
55,3586,-1
55,4233,-1
55,4778,-1
55,5431,-1
55,5634,-1
55,5698,-1
55,7147,-1
55,7476,-1
55,10880,-1
55,11156,-1
55,12369,-1
55,12469,-1
55,14502,-1
55,15117,-1
55,15959,-1
55,16992,-1
55,16993,-1
55,16994,-1
55,16995,-1
55,16996,-1
55,16997,-1
55,16998,-1
56,6,-1
56,455,-1
56,589,-1
56,614,-1
56,621,-1
56,622,-1
56,641,-1
56,768,-1
56,947,-1
56,2620,-1
56,5118,-1
58,1254,-1
61,41,-1
61,47,-1
61,108,-1
61,132,-1
61,350,-1
61,453,-1
61,521,-1
61,730,-1
61,1218,-1
61,1278,-1
61,1432,-1
61,1640,-1
61,1859,-1
61,2334,-1
61,4201,-1
61,4600,-1
61,5335,-1
61,6241,-1
61,8919,-1
61,9484,-1
61,10104,-1
61,10877,-1
61,14891,-1
61,15300,-1
61,15382,-1
61,16513,-1
61,16514,-1
61,16515,-1
61,16516,-1
61,16517,-1
61,16518,-1
61,16519,-1
66,1967,-1
66,1968,-1
69,39,-1
69,694,-1
69,827,-1
69,1206,-1
69,1484,-1
69,1640,-1
69,4462,-1
69,7894,-1
69,8241,-1
69,10258,-1
69,10572,-1
69,10947,-1
69,11651,-1
69,16547,-1
73,101,-1
73,685,-1
73,1477,-1
73,1479,-1
73,1499,-1
73,2000,-1
73,2046,-1
73,2349,-1
73,3980,-1
73,3981,-1
73,3982,-1
73,3983,-1
73,3984,-1
73,3985,-1
75,2309,-1
80,668,-1
80,1074,-1
80,17008,-1
85,2291,-1
87,850,-1
87,5234,-1
89,1451,-1
89,11013,-1
90,42,-1
91,37,-1
91,590,-1
91,617,-1
91,832,-1
91,944,-1
91,946,-1
91,947,-1
91,977,-1
91,1024,-1
91,1150,-1
91,1153,-1
91,1329,-1
91,1370,-1
91,1461,-1
91,1875,-1
91,1888,-1
91,1910,-1
91,2178,-1
91,2314,-1
91,2395,-1
91,2756,-1
91,2858,-1
91,2875,-1
91,2996,-1
91,3331,-1
91,3333,-1
91,3383,-1
91,3536,-1
91,3686,-1
91,3749,-1
91,3805,-1
91,4296,-1
91,4731,-1
91,4762,-1
91,4763,-1
91,4778,-1
91,5140,-1
91,5538,-1
91,5602,-1
91,6041,-1
91,6344,-1
91,6407,-1
91,6903,-1
91,7166,-1
91,7467,-1
91,7490,-1
91,8104,-1
91,8392,-1
91,8459,-1
91,8482,-1
91,8488,-1
91,8630,-1
91,9077,-1
91,9157,-1
91,9272,-1
91,9753,-1
91,10627,-1
91,10841,-1
91,11132,-1
91,12133,-1
91,13610,-1
91,14661,-1
91,15085,-1
91,15553,-1
91,15802,-1
91,15941,-1
91,16188,-1
91,16526,-1
91,16539,-1
91,17149,-1
91,17263,-1
91,17264,-1
91,17265,-1
91,17266,-1
91,17267,-1
91,17268,-1
91,17269,-1
91,17270,-1
91,17271,-1
91,17272,-1
91,17273,-1
91,17274,-1
91,17275,-1
91,17276,-1
91,17277,-1
91,17278,-1
91,17279,-1
91,17280,-1
91,17281,-1
91,17282,-1
91,17283,-1
91,17284,-1
91,17285,-1
91,17286,-1
91,17287,-1
94,37,-1
94,40,-1
94,47,-1
94,654,-1
94,694,-1
94,1480,-1
94,1484,-1
94,3172,-1
94,3982,-1
94,8225,-1
94,8866,-1
94,9515,-1
94,16296,-1
94,17297,-1
97,694,-1
97,5085,-1
97,5086,-1
99,8214,-1
99,17302,-1
100,5783,-1
107,2939,-1
108,69,-1
108,78,-1
108,94,-1
108,101,-1
108,122,-1
108,199,-1
108,202,-1
108,439,-1
108,694,-1
108,736,-1
108,1317,-1
108,1405,-1
108,1445,-1
108,1452,-1
108,1475,-1
108,1479,-1
108,1483,-1
108,1499,-1
108,1923,-1
108,1925,-1
108,1975,-1
108,1976,-1
108,1977,-1
108,1978,-1
108,1979,-1
108,1980,-1
108,1981,-1
108,1982,-1
108,1983,-1
108,1984,-1
108,1985,-1
108,1986,-1
108,1987,-1
108,1988,-1
108,1989,-1
108,1990,-1
108,1991,-1
108,1992,-1
108,1993,-1
108,1994,-1
108,1995,-1
108,1996,-1
108,1997,-1
108,1998,-1
108,1999,-1
108,2000,-1
108,2001,-1
108,2002,-1
108,2003,-1
108,2004,-1
108,2005,-1
108,2006,-1
108,2007,-1
108,2008,-1
108,2009,-1
108,2010,-1
108,2011,-1
108,2012,-1
108,2013,-1
108,2014,-1
108,2015,-1
108,2016,-1
108,2017,-1
108,2018,-1
108,2019,-1
108,2020,-1
108,2021,-1
108,2022,-1
108,2023,-1
108,2024,-1
108,2025,-1
108,2026,-1
108,2027,-1
108,2028,-1
108,2029,-1
108,2030,-1
108,2031,-1
108,2032,-1
108,2033,-1
108,2034,-1
108,2035,-1
108,2036,-1
108,2037,-1
108,2038,-1
108,2039,-1
108,2040,-1
108,2041,-1
108,2042,-1
108,2043,-1
108,2044,-1
108,2045,-1
108,2046,-1
108,2047,-1
108,2048,-1
108,2049,-1
108,2050,-1
108,2051,-1
108,2052,-1
108,2053,-1
108,2054,-1
108,2055,-1
108,2056,-1
108,2057,-1
108,2058,-1
108,2059,-1
108,2060,-1
108,2061,-1
108,2062,-1
108,2063,-1
108,2064,-1
108,2065,-1
108,2066,-1
108,2067,-1
108,2068,-1
108,2069,-1
108,2070,-1
108,2071,-1
108,2072,-1
108,2073,-1
112,129,-1
112,130,-1
112,131,-1
113,9082,-1
113,9540,-1
113,12568,-1
115,66,-1
115,89,-1
115,124,-1
115,129,-1
115,158,-1
115,438,-1
115,492,-1
115,493,-1
115,540,-1
115,615,-1
115,686,-1
115,742,-1
115,819,-1
115,827,-1
115,921,-1
115,1017,-1
115,1101,-1
115,1129,-1
115,1218,-1
115,1246,-1
115,1283,-1
115,1413,-1
115,1454,-1
115,1502,-1
115,1548,-1
115,1580,-1
115,1703,-1
115,1706,-1
115,1832,-1
115,1835,-1
115,2084,-1
115,2476,-1
115,2503,-1
115,2658,-1
115,2818,-1
115,3227,-1
115,3633,-1
115,3705,-1
115,4102,-1
115,4121,-1
115,4142,-1
115,4375,-1
115,4471,-1
115,4737,-1
115,4778,-1
115,4797,-1
115,5750,-1
115,6326,-1
115,6666,-1
115,7753,-1
115,8308,-1
115,8585,-1
115,11641,-1
115,11868,-1
115,12244,-1
115,12648,-1
115,12963,-1
115,13833,-1
115,14973,-1
115,16020,-1
115,17707,-1
115,17758,-1
115,18038,-1
115,18039,-1
115,18040,-1
115,18041,-1
116,668,-1
118,644,-1
119,129,-1
119,497,-1
119,549,-1
119,1129,-1
119,1153,-1
119,1454,-1
119,1502,-1
119,1624,-1
119,1910,-1
119,3012,-1
119,3866,-1
119,3983,-1
119,4142,-1
119,4277,-1
119,4439,-1
119,5271,-1
119,5447,-1
119,5466,-1
119,6409,-1
119,6491,-1
119,8258,-1
119,9252,-1
119,11569,-1
119,13133,-1
119,17431,-1
119,17974,-1
119,18051,-1
119,18052,-1
119,18053,-1
119,18054,-1
119,18055,-1
119,18056,-1
119,18057,-1
119,18058,-1
119,18059,-1
121,47,-1
121,74,-1
121,1650,-1
121,2274,-1
121,3174,-1
121,4165,-1
121,5727,-1
121,6490,-1
122,694,-1
122,1484,-1
122,1615,-1
122,8241,-1
123,134,-1
123,445,-1
123,695,-1
123,1270,-1
123,1558,-1
123,2112,-1
123,2186,-1
123,2322,-1
123,4846,-1
123,11781,-1
123,12117,-1
123,18082,-1
123,18083,-1
123,18084,-1
123,18085,-1
123,18086,-1
125,1502,-1
128,1265,-1
128,15750,-1
129,3328,-1
129,5094,-1
129,18165,-1
131,1254,-1
131,9384,-1
131,12726,-1
136,47,-1
136,124,-1
136,550,-1
136,727,-1
136,1526,-1
136,1832,-1
136,4064,-1
136,4657,-1
136,6396,-1
136,9743,-1
136,9988,-1
136,10369,-1
136,11388,-1
136,12567,-1
136,12579,-1
136,17044,-1
136,18235,-1
137,2459,-1
138,3921,-1
140,68,-1
140,84,-1
140,89,-1
140,129,-1
140,379,-1
140,406,-1
140,419,-1
140,628,-1
140,668,-1
140,679,-1
140,680,-1
140,702,-1
140,732,-1
140,812,-1
140,956,-1
140,1008,-1
140,1025,-1
140,1035,-1
140,1047,-1
140,1052,-1
140,1092,-1
140,1129,-1
140,1477,-1
140,1542,-1
140,1875,-1
140,1997,-1
140,2330,-1
140,2436,-1
140,2503,-1
140,2511,-1
140,2818,-1
140,2934,-1
140,3077,-1
140,3493,-1
140,3539,-1
140,3561,-1
140,3893,-1
140,3926,-1
140,3982,-1
140,4076,-1
140,4137,-1
140,4190,-1
140,4735,-1
140,4973,-1
140,5290,-1
140,5728,-1
140,5988,-1
140,6167,-1
140,6328,-1
140,6495,-1
140,6832,-1
140,6834,-1
140,6932,-1
140,7034,-1
140,7203,-1
140,7495,-1
140,9123,-1
140,9388,-1
140,10484,-1
140,10625,-1
140,11828,-1
140,12182,-1
140,12465,-1
140,12752,-1
140,12896,-1
140,12935,-1
140,13067,-1
140,13527,-1
140,14075,-1
140,14346,-1
140,14896,-1
140,16533,-1
140,17469,-1
140,17550,-1
140,18238,-1
140,18239,-1
140,18240,-1
140,18241,-1
140,18242,-1
140,18243,-1
140,18244,-1
140,18245,-1
140,18246,-1
140,18247,-1
140,18248,-1
140,18249,-1
141,129,-1
141,156,-1
141,440,-1
141,492,-1
141,557,-1
141,613,-1
141,930,-1
141,963,-1
141,1074,-1
141,1184,-1
141,1478,-1
141,3367,-1
141,4317,-1
141,4440,-1
141,6394,-1
141,6654,-1
141,7447,-1
141,9026,-1
141,13070,-1
141,18251,-1
141,18252,-1
141,18253,-1
141,18254,-1
144,150,-1
144,151,-1
144,152,-1
144,153,-1
144,154,-1
144,155,-1
144,156,-1
144,157,-1
144,158,-1
144,159,-1
145,1862,-1
150,144,-1
151,144,-1
154,144,-1
155,144,-1
155,2176,-1
157,144,-1
158,115,-1
158,144,-1
158,550,-1
158,780,-1
158,888,-1
158,1108,-1
158,3163,-1
158,6128,-1
158,6154,-1
158,6845,-1
158,11892,-1
158,12131,-1
161,1160,-1
161,2458,-1
161,2721,-1
161,3150,-1
161,4381,-1
161,5992,-1
161,9792,-1
161,10372,-1
161,17252,-1
161,17356,-1
161,19704,-1
162,685,-1
168,205,-1
168,499,-1
168,628,-1
168,1200,-1
168,1438,-1
168,2511,-1
168,3587,-1
168,3862,-1
168,4630,-1
168,6026,-1
168,6450,-1
168,6772,-1
168,7484,-1
168,9419,-1
169,121,-1
169,206,-1
169,306,-1
169,374,-1
169,375,-1
169,578,-1
169,685,-1
169,1315,-1
169,1415,-1
169,1888,-1
169,2341,-1
169,2458,-1
169,2693,-1
169,3177,-1
169,3237,-1
169,3465,-1
169,3733,-1
169,3862,-1
169,4076,-1
169,4828,-1
169,5153,-1
169,5293,-1
169,7030,-1
169,7172,-1
169,7214,-1
169,7225,-1
169,7247,-1
169,7403,-1
169,7877,-1
169,8513,-1
169,8599,-1
169,8738,-1
169,8812,-1
169,8825,-1
169,11781,-1
169,12502,-1
169,13317,-1
169,13319,-1
169,13622,-1
169,13907,-1
169,16230,-1
169,18366,-1
169,18367,-1
169,18368,-1
169,18369,-1
169,18370,-1
169,18371,-1
169,18372,-1
170,2195,-1
170,6799,-1
170,7566,-1
170,19708,-1
171,562,-1
171,6378,-1
171,7447,-1
171,13388,-1
171,19709,-1
175,628,-1
175,1250,-1
175,2473,-1
175,2847,-1
175,5117,-1
175,18557,-1
177,942,-1
177,7416,-1
177,19244,-1
178,626,-1
178,1122,-1
178,1161,-1
178,1174,-1
178,1343,-1
178,3465,-1
178,5287,-1
178,6492,-1
178,10702,-1
178,11654,-1
178,12330,-1
178,15434,-1
178,19061,-1
178,19712,-1
178,19713,-1
178,19714,-1
178,19715,-1
178,19716,-1
178,19717,-1
182,492,-1
182,557,-1
182,573,-1
182,621,-1
182,641,-1
182,686,-1
182,937,-1
182,1161,-1
182,1558,-1
182,1727,-1
182,1799,-1
182,2170,-1
182,2207,-1
182,2213,-1
182,2458,-1
182,2600,-1
182,2647,-1
182,2797,-1
182,2864,-1
182,3067,-1
182,3443,-1
182,3550,-1
182,3776,-1
182,3947,-1
182,3958,-1
182,4036,-1
182,4175,-1
182,5619,-1
182,6843,-1
182,7031,-1
182,7037,-1
182,7219,-1
182,7384,-1
182,7426,-1
182,7447,-1
182,7784,-1
182,7827,-1
182,8365,-1
182,8436,-1
182,9254,-1
182,9442,-1
182,9445,-1
182,9660,-1
182,9782,-1
182,10653,-1
182,10707,-1
182,10771,-1
182,11315,-1
182,11544,-1
182,13459,-1
182,14326,-1
182,16267,-1
182,16281,-1
182,16444,-1
182,16580,-1
182,18602,-1
182,18632,-1
182,18703,-1
182,18751,-1
182,18857,-1
182,18858,-1
182,18859,-1
182,18860,-1
182,18861,-1
182,18862,-1
182,18863,-1
182,18864,-1
182,18865,-1
182,18866,-1
182,18867,-1
182,18868,-1
184,663,-1
186,374,-1
186,1015,-1
186,2141,-1
186,2658,-1
186,2797,-1
186,3215,-1
186,3395,-1
186,3571,-1
186,4175,-1
186,6414,-1
186,7225,-1
186,7872,-1
186,8511,-1
186,11747,-1
186,19722,-1
188,1491,-1
188,4076,-1
188,7818,-1
188,18493,-1
190,1320,-1
190,2112,-1
190,2327,-1
193,842,-1
194,2145,-1
194,19724,-1
194,19725,-1
197,74,-1
197,5004,-1
197,6845,-1
197,7039,-1
197,7663,-1
197,15846,-1
199,310,-1
199,5256,-1
199,8376,-1
205,6102,-1
207,306,-1
207,374,-1
207,375,-1
207,7030,-1
207,7214,-1
207,7225,-1
207,7247,-1
207,7877,-1
207,9672,-1
207,13317,-1
207,13319,-1
207,13907,-1
207,13908,-1
207,13909,-1
207,13910,-1
207,13911,-1
207,19730,-1
208,2973,-1
208,19732,-1
209,562,-1
209,996,-1
209,1065,-1
209,1184,-1
209,1315,-1
209,2654,-1
209,3513,-1
209,4972,-1
209,6026,-1
209,6592,-1
209,6843,-1
209,7031,-1
209,7713,-1
209,10188,-1
209,13945,-1
209,15668,-1
209,16402,-1
209,16734,-1
209,17161,-1
209,18673,-1
209,19084,-1
209,19215,-1
209,19330,-1
209,19456,-1
209,19457,-1
209,19458,-1
209,19459,-1
209,19460,-1
209,19461,-1
209,19462,-1
210,19734,-1
212,956,-1
212,1826,-1
212,2694,-1
212,3304,-1
212,3493,-1
212,6144,-1
212,6797,-1
212,12156,-1
212,19735,-1
212,19736,-1
212,19737,-1
214,2581,-1
214,13123,-1
216,19744,-1
220,374,-1
220,7030,-1
220,7214,-1
220,7225,-1
220,7247,-1
220,13908,-1
220,19745,-1
222,548,-1
223,2458,-1
223,3149,-1
223,4419,-1
223,15439,-1
224,70,-1
224,374,-1
224,1722,-1
224,2328,-1
224,4381,-1
224,6891,-1
224,10161,-1
224,13631,-1
224,18165,-1
225,215,-1
225,235,-1
225,306,-1
225,310,-1
225,374,-1
225,375,-1
225,421,-1
225,668,-1
225,669,-1
225,679,-1
225,963,-1
225,1008,-1
225,1548,-1
225,1888,-1
225,2693,-1
225,3017,-1
225,3106,-1
225,3426,-1
225,3587,-1
225,3974,-1
225,7030,-1
225,7214,-1
225,7225,-1
225,7247,-1
225,7877,-1
225,8253,-1
225,9893,-1
225,10151,-1
225,10564,-1
225,13317,-1
225,13907,-1
225,14942,-1
225,17252,-1
225,19018,-1
225,19752,-1
225,19753,-1
225,19754,-1
227,3903,-1
227,19756,-1
230,129,-1
230,306,-1
230,325,-1
230,374,-1
230,375,-1
230,492,-1
230,509,-1
230,570,-1
230,645,-1
230,652,-1
230,732,-1
230,743,-1
230,1015,-1
230,1318,-1
230,1348,-1
230,1472,-1
230,1502,-1
230,1533,-1
230,1548,-1
230,2436,-1
230,3072,-1
230,3440,-1
230,3720,-1
230,3776,-1
230,3824,-1
230,3939,-1
230,3947,-1
230,4737,-1
230,4817,-1
230,4824,-1
230,4833,-1
230,5152,-1
230,5163,-1
230,5434,-1
230,5659,-1
230,5807,-1
230,5855,-1
230,6097,-1
230,6175,-1
230,6199,-1
230,6416,-1
230,6441,-1
230,6670,-1
230,6843,-1
230,6980,-1
230,7001,-1
230,7043,-1
230,7125,-1
230,7167,-1
230,7168,-1
230,7169,-1
230,7170,-1
230,7171,-1
230,7172,-1
230,7173,-1
230,7174,-1
230,7175,-1
230,7176,-1
230,7177,-1
230,7178,-1
230,7179,-1
230,7180,-1
230,7181,-1
230,7182,-1
230,7183,-1
230,7184,-1
230,7185,-1
230,7186,-1
230,7187,-1
230,7188,-1
230,7189,-1
230,7190,-1
230,7191,-1
230,7192,-1
230,7193,-1
230,7194,-1
230,7195,-1
230,7196,-1
230,7197,-1
230,7198,-1
230,7199,-1
230,7200,-1
230,7201,-1
230,7202,-1
230,7203,-1
230,7204,-1
230,7205,-1
230,7206,-1
230,7207,-1
230,7208,-1
230,7209,-1
230,7210,-1
230,7211,-1
230,7212,-1
230,7213,-1
230,7214,-1
230,7215,-1
230,7216,-1
230,7217,-1
230,7218,-1
230,7219,-1
230,7220,-1
230,7221,-1
230,7222,-1
230,7223,-1
230,7224,-1
230,7225,-1
230,7226,-1
230,7227,-1
230,7228,-1
230,7229,-1
230,7230,-1
230,7231,-1
230,7232,-1
230,7233,-1
230,7234,-1
230,7235,-1
230,7236,-1
230,7237,-1
230,7238,-1
230,7239,-1
230,7240,-1
230,7241,-1
230,7242,-1
230,7243,-1
230,7244,-1
230,7245,-1
230,7246,-1
230,7247,-1
230,7248,-1
230,7249,-1
230,7250,-1
230,7251,-1
230,7252,-1
230,7253,-1
230,7254,-1
233,445,-1
233,989,-1
233,1095,-1
233,1548,-1
233,1799,-1
233,2153,-1
