,node,type,generative_count,generative_probability,receptive_count,receptive_probability
84,45,1,12.0,0.8571428571428571,31.0,0.96875
85,45,-1,2.0,0.14285714285714285,1.0,0.03125
86,46,-1,10.0,0.4166666666666667,0.0,0.0
87,46,1,14.0,0.5833333333333334,0.0,0.0
88,47,1,1.0,1.0,0.0,0.0
89,48,-1,15.0,0.38461538461538464,0.0,0.0
90,48,1,24.0,0.6153846153846154,0.0,0.0
91,49,-1,12.0,0.08,1.0,0.02631578947368421
92,49,1,138.0,0.92,37.0,0.9736842105263158
93,50,1,0.0,0.0,20.0,1.0
94,51,1,50.0,0.7936507936507936,60.0,0.9230769230769231
95,51,-1,13.0,0.20634920634920634,5.0,0.07692307692307693
96,52,1,19.0,0.8260869565217391,101.0,0.6870748299319728
97,52,-1,4.0,0.17391304347826086,46.0,0.3129251700680272
98,53,-1,1.0,0.07692307692307693,0.0,0.0
99,53,1,12.0,0.9230769230769231,0.0,0.0
100,54,-1,6.0,0.15789473684210525,0.0,0.0
101,54,1,32.0,0.8421052631578947,0.0,0.0
102,55,1,94.0,1.0,0.0,0.0
103,56,1,8.0,1.0,0.0,0.0
104,57,1,10.0,0.5882352941176471,0.0,0.0
105,57,-1,7.0,0.4117647058823529,0.0,0.0
106,58,-1,15.0,0.14705882352941177,0.0,0.0
107,58,1,87.0,0.8529411764705882,0.0,0.0
108,59,1,1.0,1.0,0.0,0.0
109,60,1,1.0,1.0,0.0,0.0
110,60,-1,0.0,0.0,9.0,1.0
111,61,1,2.0,1.0,0.0,0.0
112,62,-1,6.0,0.13953488372093023,0.0,0.0
113,62,1,37.0,0.8604651162790697,0.0,0.0
114,63,-1,57.0,0.35185185185185186,95.0,0.6291390728476821
115,63,1,105.0,0.6481481481481481,56.0,0.3708609271523179
116,64,-1,3.0,0.23076923076923078,0.0,0.0
117,64,1,10.0,0.7692307692307693,0.0,0.0
118,65,-1,14.0,0.45161290322580644,8.0,0.11764705882352941
119,65,1,17.0,0.5483870967741935,60.0,0.8823529411764706
120,66,1,2.0,1.0,0.0,0.0
121,67,-1,17.0,0.4146341463414634,0.0,0.0
122,67,1,24.0,0.5853658536585366,0.0,0.0
123,68,-1,25.0,0.4807692307692308,0.0,0.0
124,68,1,27.0,0.5192307692307693,0.0,0.0
125,69,1,23.0,0.92,0.0,0.0
126,69,-1,2.0,0.08,0.0,0.0
127,70,1,53.0,0.8983050847457628,39.0,0.9069767441860465
128,70,-1,6.0,0.1016949152542373,4.0,0.09302325581395349
129,71,-1,15.0,0.8333333333333334,0.0,0.0
130,71,1,3.0,0.16666666666666666,0.0,0.0
131,72,1,8.0,1.0,0.0,0.0
132,73,-1,1.0,0.5,0.0,0.0
133,73,1,1.0,0.5,0.0,0.0
134,74,-1,4.0,0.23529411764705882,0.0,0.0
135,74,1,13.0,0.7647058823529411,0.0,0.0
136,75,1,1.0,1.0,0.0,0.0
137,76,1,1.0,1.0,0.0,0.0
138,77,1,91.0,0.7459016393442623,106.0,0.9814814814814815
139,77,-1,31.0,0.2540983606557377,2.0,0.018518518518518517
140,78,1,63.0,0.5779816513761468,0.0,0.0
141,78,-1,46.0,0.42201834862385323,0.0,0.0
142,79,-1,36.0,0.1875,0.0,0.0
143,79,1,156.0,0.8125,0.0,0.0
144,80,-1,1.0,1.0,0.0,0.0
145,81,1,20.0,0.7142857142857143,16.0,1.0
146,81,-1,8.0,0.2857142857142857,0.0,0.0
147,82,-1,9.0,0.13043478260869565,0.0,0.0
148,82,1,60.0,0.8695652173913043,0.0,0.0
149,83,1,1.0,1.0,6.0,0.35294117647058826
150,83,-1,0.0,0.0,11.0,0.6470588235294118
151,84,1,3.0,1.0,0.0,0.0
152,85,1,1.0,1.0,0.0,0.0
153,86,-1,65.0,0.8125,24.0,0.8888888888888888
154,86,1,15.0,0.1875,3.0,0.1111111111111111
155,87,-1,0.0,0.0,22.0,0.5641025641025641
156,87,1,2.0,1.0,17.0,0.4358974358974359
157,88,1,15.0,0.625,0.0,0.0
158,88,-1,9.0,0.375,0.0,0.0
159,89,1,1.0,0.5,0.0,0.0
160,89,-1,1.0,0.5,0.0,0.0
161,90,-1,1.0,0.2,0.0,0.0
162,90,1,4.0,0.8,0.0,0.0
163,91,-1,3.0,0.42857142857142855,0.0,0.0
164,91,1,4.0,0.5714285714285714,0.0,0.0
165,92,-1,9.0,0.6,0.0,0.0
166,92,1,6.0,0.4,0.0,0.0
167,93,1,2.0,0.4,0.0,0.0
168,93,-1,3.0,0.6,0.0,0.0
169,94,1,53.0,0.7910447761194029,0.0,0.0
170,94,-1,14.0,0.208955223880597,0.0,0.0
171,95,-1,3.0,1.0,0.0,0.0
172,96,-1,2.0,1.0,0.0,0.0
173,97,1,18.0,0.6,0.0,0.0
174,97,-1,12.0,0.4,0.0,0.0
175,98,1,2.0,0.5,14.0,0.6363636363636364
176,98,-1,2.0,0.5,8.0,0.36363636363636365
177,99,-1,3.0,0.3333333333333333,0.0,0.0
178,99,1,6.0,0.6666666666666666,0.0,0.0
179,100,-1,93.0,0.34191176470588236,0.0,0.0
180,100,1,179.0,0.6580882352941176,0.0,0.0
181,101,-1,1.0,1.0,0.0,0.0
182,102,-1,1.0,1.0,0.0,0.0
183,103,-1,1.0,1.0,0.0,0.0
184,104,1,4.0,1.0,0.0,0.0
185,105,1,2.0,1.0,3.0,0.2727272727272727
186,105,-1,0.0,0.0,8.0,0.7272727272727273
187,106,1,158.0,0.8359788359788359,0.0,0.0
188,106,-1,31.0,0.164021164021164,0.0,0.0
189,107,-1,36.0,0.37894736842105264,0.0,0.0
190,107,1,59.0,0.6210526315789474,0.0,0.0
191,108,-1,3.0,0.10714285714285714,0.0,0.0
192,108,1,25.0,0.8928571428571429,0.0,0.0
193,109,-1,6.0,0.75,0.0,0.0
194,109,1,2.0,0.25,0.0,0.0
195,110,1,1.0,1.0,0.0,0.0
196,111,-1,7.0,0.875,0.0,0.0
197,111,1,1.0,0.125,0.0,0.0
198,112,-1,28.0,0.1320754716981132,0.0,0.0
199,112,1,184.0,0.8679245283018868,0.0,0.0
200,113,-1,21.0,0.23595505617977527,0.0,0.0
201,113,1,68.0,0.7640449438202247,0.0,0.0
202,114,-1,1.0,1.0,0.0,0.0
203,115,-1,2.0,0.6666666666666666,0.0,0.0
204,115,1,1.0,0.3333333333333333,0.0,0.0
205,116,1,1.0,1.0,0.0,0.0
206,117,-1,1.0,0.07692307692307693,0.0,0.0
207,117,1,12.0,0.9230769230769231,20.0,1.0
208,118,-1,2.0,0.08333333333333333,0.0,0.0
209,118,1,22.0,0.9166666666666666,0.0,0.0
210,119,-1,49.0,0.3712121212121212,2.0,0.10526315789473684
211,119,1,83.0,0.6287878787878788,17.0,0.8947368421052632
212,120,1,51.0,0.6375,0.0,0.0
213,120,-1,29.0,0.3625,0.0,0.0
214,121,1,4.0,1.0,0.0,0.0
215,122,-1,0.0,0.0,29.0,1.0
216,123,1,18.0,0.6206896551724138,26.0,0.9285714285714286
217,123,-1,11.0,0.3793103448275862,2.0,0.07142857142857142
218,124,1,8.0,0.8,0.0,0.0
219,124,-1,2.0,0.2,0.0,0.0
220,125,-1,2.0,1.0,0.0,0.0
221,126,-1,1.0,0.14285714285714285,0.0,0.0
222,126,1,6.0,0.8571428571428571,35.0,1.0
223,127,-1,36.0,0.36363636363636365,0.0,0.0
224,127,1,63.0,0.6363636363636364,0.0,0.0
225,128,-1,1.0,1.0,0.0,0.0
226,129,1,68.0,0.9444444444444444,0.0,0.0
227,129,-1,4.0,0.05555555555555555,0.0,0.0
228,130,1,29.0,0.7837837837837838,0.0,0.0
229,130,-1,8.0,0.21621621621621623,0.0,0.0
230,131,1,24.0,0.8,19.0,0.8636363636363636
231,131,-1,6.0,0.2,3.0,0.13636363636363635
232,132,-1,1.0,1.0,0.0,0.0
233,133,-1,14.0,0.56,0.0,0.0
234,133,1,11.0,0.44,0.0,0.0
235,134,-1,3.0,0.031914893617021274,0.0,0.0
236,134,1,91.0,0.9680851063829787,0.0,0.0
237,135,1,48.0,0.8275862068965517,13.0,0.8666666666666667
238,135,-1,10.0,0.1724137931034483,2.0,0.13333333333333333
239,136,-1,2.0,0.1111111111111111,0.0,0.0
240,136,1,16.0,0.8888888888888888,0.0,0.0
241,137,1,1.0,1.0,0.0,0.0
242,138,1,1.0,1.0,0.0,0.0
243,139,-1,30.0,0.40540540540540543,9.0,0.24324324324324326
244,139,1,44.0,0.5945945945945946,28.0,0.7567567567567568
245,140,1,16.0,0.7619047619047619,43.0,0.8431372549019608
246,140,-1,5.0,0.23809523809523808,8.0,0.1568627450980392
247,141,1,1.0,1.0,2.0,0.1111111111111111
248,141,-1,0.0,0.0,16.0,0.8888888888888888
249,142,-1,11.0,0.18032786885245902,1.0,0.05555555555555555
250,142,1,50.0,0.819672131147541,17.0,0.9444444444444444
251,143,-1,12.0,0.42857142857142855,9.0,0.16981132075471697
252,143,1,16.0,0.5714285714285714,44.0,0.8301886792452831
253,144,-1,1.0,0.25,0.0,0.0
254,144,1,3.0,0.75,0.0,0.0
255,145,-1,5.0,0.11363636363636363,0.0,0.0
256,145,1,39.0,0.8863636363636364,0.0,0.0
257,146,-1,5.0,0.7142857142857143,0.0,0.0
258,146,1,2.0,0.2857142857142857,0.0,0.0
259,147,-1,1.0,1.0,0.0,0.0
260,148,-1,1.0,1.0,0.0,0.0
261,149,1,25.0,0.78125,0.0,0.0
262,149,-1,7.0,0.21875,0.0,0.0
263,150,1,3.0,0.75,0.0,0.0
264,150,-1,1.0,0.25,0.0,0.0
265,151,-1,1.0,0.1111111111111111,1.0,0.07142857142857142
266,151,1,8.0,0.8888888888888888,13.0,0.9285714285714286
267,152,1,0.0,0.0,2.0,0.16666666666666666
268,152,-1,0.0,0.0,10.0,0.8333333333333334
269,153,1,2.0,0.6666666666666666,0.0,0.0
270,153,-1,1.0,0.3333333333333333,0.0,0.0
271,154,1,7.0,0.7777777777777778,24.0,1.0
272,154,-1,2.0,0.2222222222222222,0.0,0.0
273,155,-1,14.0,0.2,19.0,0.3584905660377358
274,155,1,56.0,0.8,34.0,0.6415094339622641
275,156,1,115.0,0.9349593495934959,0.0,0.0
276,156,-1,8.0,0.06504065040650407,0.0,0.0
277,157,1,1.0,1.0,8.0,0.42105263157894735
278,157,-1,0.0,0.0,11.0,0.5789473684210527
279,158,1,326.0,0.9760479041916168,0.0,0.0
280,158,-1,8.0,0.023952095808383235,0.0,0.0
281,159,-1,1.0,1.0,0.0,0.0
282,160,1,65.0,0.9420289855072463,0.0,0.0
283,160,-1,4.0,0.057971014492753624,0.0,0.0
284,161,1,39.0,1.0,0.0,0.0
285,162,1,0.0,0.0,27.0,1.0
286,163,1,14.0,0.7368421052631579,0.0,0.0
287,163,-1,5.0,0.2631578947368421,0.0,0.0
288,164,-1,13.0,0.20634920634920634,0.0,0.0
289,164,1,50.0,0.7936507936507936,35.0,1.0
290,165,-1,2.0,0.11764705882352941,0.0,0.0
291,165,1,15.0,0.8823529411764706,0.0,0.0
292,166,1,54.0,1.0,0.0,0.0
293,167,-1,1.0,0.3333333333333333,0.0,0.0
294,167,1,2.0,0.6666666666666666,0.0,0.0
295,168,-1,22.0,0.27848101265822783,0.0,0.0
296,168,1,57.0,0.7215189873417721,32.0,1.0
297,169,-1,0.0,0.0,87.0,0.5
298,169,1,0.0,0.0,87.0,0.5
299,170,-1,20.0,0.21505376344086022,0.0,0.0
300,170,1,73.0,0.7849462365591398,0.0,0.0
301,171,-1,1.0,0.25,0.0,0.0
302,171,1,3.0,0.75,0.0,0.0
303,172,-1,2.0,0.4,0.0,0.0
304,172,1,3.0,0.6,0.0,0.0
305,173,-1,5.0,0.13513513513513514,0.0,0.0
306,173,1,32.0,0.8648648648648649,0.0,0.0
307,174,1,3.0,1.0,0.0,0.0
308,174,-1,0.0,0.0,1.0,1.0
309,175,-1,2.0,0.5,12.0,0.8571428571428571
310,175,1,2.0,0.5,2.0,0.14285714285714285
311,176,1,1.0,1.0,0.0,0.0
312,177,-1,1.0,1.0,0.0,0.0
313,178,1,2.0,1.0,0.0,0.0
314,179,1,6.0,0.5454545454545454,0.0,0.0
315,179,-1,5.0,0.45454545454545453,0.0,0.0
316,180,-1,1.0,1.0,0.0,0.0
317,181,-1,1.0,1.0,0.0,0.0
318,182,1,11.0,0.6470588235294118,0.0,0.0
319,182,-1,6.0,0.35294117647058826,0.0,0.0
320,183,1,3.0,0.23076923076923078,0.0,0.0
321,183,-1,10.0,0.7692307692307693,0.0,0.0
322,184,-1,1.0,1.0,0.0,0.0
323,185,-1,1.0,0.047619047619047616,0.0,0.0
324,185,1,20.0,0.9523809523809523,0.0,0.0
325,186,1,3.0,0.5,0.0,0.0
326,186,-1,3.0,0.5,0.0,0.0
327,187,-1,8.0,0.25806451612903225,0.0,0.0
328,187,1,23.0,0.7419354838709677,0.0,0.0
329,188,-1,2.0,0.16666666666666666,25.0,0.19083969465648856
330,188,1,10.0,0.8333333333333334,106.0,0.8091603053435115
331,189,1,9.0,0.75,0.0,0.0
332,189,-1,3.0,0.25,0.0,0.0
333,190,-1,1.0,1.0,0.0,0.0
334,191,-1,1.0,1.0,0.0,0.0
335,192,1,3.0,0.5,0.0,0.0
336,192,-1,3.0,0.5,0.0,0.0
337,193,1,9.0,0.9,0.0,0.0
338,193,-1,1.0,0.1,0.0,0.0
339,194,-1,3.0,0.15789473684210525,25.0,0.9259259259259259
340,194,1,16.0,0.8421052631578947,2.0,0.07407407407407407
341,195,-1,1.0,1.0,0.0,0.0
342,196,-1,2.0,0.06896551724137931,0.0,0.0
343,196,1,27.0,0.9310344827586207,0.0,0.0
344,197,-1,2.0,0.25,0.0,0.0
345,197,1,6.0,0.75,21.0,1.0
346,198,-1,20.0,0.2,0.0,0.0
347,198,1,80.0,0.8,0.0,0.0
348,199,1,0.0,0.0,18.0,1.0
349,200,1,1.0,1.0,0.0,0.0
350,201,1,10.0,1.0,0.0,0.0
351,202,-1,1.0,0.25,8.0,1.0
352,202,1,3.0,0.75,0.0,0.0
353,203,-1,2.0,0.10526315789473684,0.0,0.0
354,203,1,17.0,0.8947368421052632,0.0,0.0
355,204,-1,3.0,0.23076923076923078,2.0,0.1111111111111111
356,204,1,10.0,0.7692307692307693,16.0,0.8888888888888888
357,205,1,1.0,1.0,0.0,0.0
358,206,1,11.0,0.44,20.0,0.9523809523809523
359,206,-1,14.0,0.56,1.0,0.047619047619047616
360,207,1,2.0,0.4,0.0,0.0
361,207,-1,3.0,0.6,0.0,0.0
362,208,-1,1.0,0.2,1.0,0.037037037037037035
363,208,1,4.0,0.8,26.0,0.9629629629629629
364,209,1,6.0,1.0,44.0,1.0
365,210,-1,1.0,0.5,0.0,0.0
366,210,1,1.0,0.5,0.0,0.0
367,211,-1,1.0,0.5,29.0,0.34523809523809523
368,211,1,1.0,0.5,55.0,0.6547619047619048
369,212,-1,1.0,0.25,0.0,0.0
370,212,1,3.0,0.75,0.0,0.0
371,213,1,1.0,0.3333333333333333,0.0,0.0
372,213,-1,2.0,0.6666666666666666,0.0,0.0
373,214,-1,1.0,1.0,18.0,0.782608695652174
374,214,1,0.0,0.0,5.0,0.21739130434782608
375,215,1,5.0,0.45454545454545453,0.0,0.0
376,215,-1,6.0,0.5454545454545454,0.0,0.0
377,216,1,6.0,1.0,33.0,0.75
378,216,-1,0.0,0.0,11.0,0.25
379,217,-1,6.0,0.12244897959183673,0.0,0.0
380,217,1,43.0,0.8775510204081632,0.0,0.0
381,218,-1,5.0,0.21739130434782608,2.0,0.09090909090909091
382,218,1,18.0,0.782608695652174,20.0,0.9090909090909091
383,219,1,1.0,1.0,0.0,0.0
384,220,1,1.0,1.0,0.0,0.0
385,221,1,2.0,1.0,0.0,0.0
386,222,1,38.0,0.9743589743589743,21.0,1.0
387,222,-1,1.0,0.02564102564102564,0.0,0.0
388,223,1,34.0,0.8292682926829268,0.0,0.0
389,223,-1,7.0,0.17073170731707318,0.0,0.0
390,224,-1,1.0,1.0,0.0,0.0
391,225,1,3.0,1.0,0.0,0.0
392,226,1,1.0,1.0,0.0,0.0
393,227,1,3.0,1.0,0.0,0.0
394,228,-1,0.0,0.0,1.0,0.045454545454545456
395,228,1,0.0,0.0,21.0,0.9545454545454546
396,229,-1,0.0,0.0,1.0,0.02631578947368421
397,229,1,0.0,0.0,37.0,0.9736842105263158
398,230,1,5.0,0.625,22.0,0.88
399,230,-1,3.0,0.375,3.0,0.12
400,231,1,1.0,1.0,0.0,0.0
401,232,1,14.0,0.56,0.0,0.0
402,232,-1,11.0,0.44,0.0,0.0
403,233,-1,5.0,0.05813953488372093,1.0,0.04
404,233,1,81.0,0.9418604651162791,24.0,0.96
405,234,-1,2.0,0.2,0.0,0.0
406,234,1,8.0,0.8,0.0,0.0
407,235,-1,2.0,0.25,4.0,0.16666666666666666
408,235,1,6.0,0.75,20.0,0.8333333333333334
409,236,1,6.0,1.0,12.0,0.9230769230769231
410,236,-1,0.0,0.0,1.0,0.07692307692307693
411,237,1,6.0,1.0,0.0,0.0
412,238,-1,14.0,0.25,15.0,0.19230769230769232
413,238,1,42.0,0.75,63.0,0.8076923076923077
414,239,1,19.0,0.8636363636363636,0.0,0.0
415,239,-1,3.0,0.13636363636363635,0.0,0.0
416,240,-1,0.0,0.0,18.0,0.09375
417,240,1,0.0,0.0,174.0,0.90625
418,241,1,1.0,1.0,0.0,0.0
419,242,-1,1.0,0.03225806451612903,0.0,0.0
420,242,1,30.0,0.967741935483871,0.0,0.0
421,243,1,13.0,1.0,0.0,0.0
422,244,1,1.0,1.0,0.0,0.0
423,245,1,3.0,1.0,0.0,0.0
424,246,-1,5.0,0.16666666666666666,0.0,0.0
425,246,1,25.0,0.8333333333333334,0.0,0.0
426,247,1,14.0,1.0,0.0,0.0
427,248,-1,2.0,0.2857142857142857,6.0,0.46153846153846156
428,248,1,5.0,0.7142857142857143,7.0,0.5384615384615384
429,249,-1,0.0,0.0,5.0,0.1724137931034483
430,249,1,0.0,0.0,24.0,0.8275862068965517
431,250,-1,3.0,0.42857142857142855,0.0,0.0
432,250,1,4.0,0.5714285714285714,0.0,0.0
433,251,-1,2.0,1.0,0.0,0.0
434,252,-1,10.0,0.17857142857142858,0.0,0.0
435,252,1,46.0,0.8214285714285714,0.0,0.0
436,253,1,8.0,1.0,0.0,0.0
437,254,-1,3.0,0.039473684210526314,0.0,0.0
438,254,1,73.0,0.9605263157894737,22.0,1.0
439,255,1,32.0,0.8205128205128205,83.0,0.8217821782178217
440,255,-1,7.0,0.1794871794871795,18.0,0.1782178217821782
441,256,1,2.0,1.0,0.0,0.0
442,257,-1,6.0,0.8571428571428571,0.0,0.0
443,257,1,1.0,0.14285714285714285,0.0,0.0
444,258,1,0.0,0.0,16.0,0.8421052631578947
445,258,-1,0.0,0.0,3.0,0.15789473684210525
446,259,1,5.0,0.8333333333333334,18.0,0.29508196721311475
447,259,-1,1.0,0.16666666666666666,43.0,0.7049180327868853
448,260,-1,1.0,1.0,0.0,0.0
449,261,-1,1.0,1.0,0.0,0.0
450,262,-1,1.0,1.0,0.0,0.0
451,263,1,0.0,0.0,103.0,0.6518987341772152
452,263,-1,0.0,0.0,55.0,0.34810126582278483
453,264,-1,5.0,0.14285714285714285,0.0,0.0
454,264,1,30.0,0.8571428571428571,2.0,1.0
455,265,-1,1.0,1.0,0.0,0.0
456,266,-1,1.0,0.16666666666666666,0.0,0.0
457,266,1,5.0,0.8333333333333334,0.0,0.0
458,267,1,3.0,1.0,0.0,0.0
459,268,1,4.0,0.8,0.0,0.0
460,268,-1,1.0,0.2,0.0,0.0
461,269,-1,6.0,0.6,0.0,0.0
462,269,1,4.0,0.4,0.0,0.0
463,270,-1,1.0,1.0,0.0,0.0
464,271,-1,12.0,0.16901408450704225,50.0,0.36764705882352944
465,271,1,59.0,0.8309859154929577,86.0,0.6323529411764706
466,272,1,0.0,0.0,46.0,1.0
467,272,-1,2.0,1.0,0.0,0.0
468,273,-1,0.0,0.0,9.0,0.42857142857142855
469,273,1,0.0,0.0,12.0,0.5714285714285714
470,274,1,1.0,1.0,13.0,1.0
471,275,1,13.0,0.8666666666666667,0.0,0.0
472,275,-1,2.0,0.13333333333333333,0.0,0.0
473,276,-1,4.0,0.3076923076923077,20.0,0.8695652173913043
474,276,1,9.0,0.6923076923076923,3.0,0.13043478260869565
475,277,-1,2.0,0.6666666666666666,0.0,0.0
476,277,1,1.0,0.3333333333333333,0.0,0.0
477,278,-1,17.0,0.21518987341772153,4.0,0.08695652173913043
478,278,1,62.0,0.7848101265822784,42.0,0.9130434782608695
479,279,-1,0.0,0.0,10.0,0.23255813953488372
480,279,1,0.0,0.0,33.0,0.7674418604651163
481,280,1,203.0,0.8319672131147541,22.0,1.0
482,280,-1,41.0,0.1680327868852459,0.0,0.0
483,281,1,4.0,0.8,0.0,0.0
484,281,-1,1.0,0.2,0.0,0.0
485,282,-1,5.0,0.035211267605633804,1.0,0.024390243902439025
486,282,1,137.0,0.9647887323943662,40.0,0.975609756097561
487,283,-1,4.0,0.5714285714285714,0.0,0.0
488,283,1,3.0,0.42857142857142855,0.0,0.0
489,284,1,1.0,1.0,0.0,0.0
490,285,-1,9.0,0.0391304347826087,0.0,0.0
491,285,1,221.0,0.9608695652173913,43.0,1.0
492,286,-1,31.0,0.09657320872274143,1.0,0.02127659574468085
493,286,1,290.0,0.9034267912772586,46.0,0.9787234042553191
494,287,1,217.0,0.9559471365638766,0.0,0.0
495,287,-1,10.0,0.04405286343612335,0.0,0.0
496,288,1,38.0,0.7037037037037037,46.0,1.0
497,288,-1,16.0,0.2962962962962963,0.0,0.0
498,289,1,1.0,1.0,9.0,0.6923076923076923
499,289,-1,0.0,0.0,4.0,0.3076923076923077
500,290,-1,8.0,0.1038961038961039,0.0,0.0
501,290,1,69.0,0.8961038961038961,0.0,0.0
502,291,1,3.0,1.0,0.0,0.0
503,292,1,6.0,0.8571428571428571,0.0,0.0
504,292,-1,1.0,0.14285714285714285,0.0,0.0
505,293,-1,16.0,0.11428571428571428,8.0,0.16326530612244897
506,293,1,124.0,0.8857142857142857,41.0,0.8367346938775511
507,294,1,2.0,0.6666666666666666,0.0,0.0
508,294,-1,1.0,0.3333333333333333,0.0,0.0
509,295,-1,13.0,0.06532663316582915,0.0,0.0
510,295,1,186.0,0.9346733668341709,18.0,1.0
511,296,-1,3.0,0.5,0.0,0.0
512,296,1,3.0,0.5,0.0,0.0
513,297,-1,1.0,1.0,0.0,0.0
514,298,1,1.0,1.0,0.0,0.0
515,299,-1,1.0,0.07142857142857142,12.0,0.75
516,299,1,13.0,0.9285714285714286,4.0,0.25
517,300,-1,3.0,0.25,0.0,0.0
518,300,1,9.0,0.75,0.0,0.0
519,301,-1,2.0,0.5,0.0,0.0
520,301,1,2.0,0.5,0.0,0.0
521,302,-1,1.0,0.125,0.0,0.0
522,302,1,7.0,0.875,0.0,0.0
523,303,-1,4.0,0.5,0.0,0.0
524,303,1,4.0,0.5,0.0,0.0
525,304,-1,3.0,0.23076923076923078,0.0,0.0
526,304,1,10.0,0.7692307692307693,0.0,0.0
527,305,-1,1.0,0.5,0.0,0.0
528,305,1,1.0,0.5,0.0,0.0
